"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12483","test_adding_products_in_cart[webkit]","tests.cart","Mon Dec 15 00:02:37 UTC 2025","passed","Mon Dec 15 00:02:49 UTC 2025","","test_adding_products_in_cart","",""
"","5553","test_valid_contact_us_form_submitting[webkit]","tests.contact_us_form","Mon Dec 15 00:02:37 UTC 2025","passed","Mon Dec 15 00:02:42 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1135","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Mon Dec 15 00:02:46 UTC 2025","passed","Mon Dec 15 00:02:47 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","4367","test_login_with_valid_credentials[webkit]","tests.login","Mon Dec 15 00:02:40 UTC 2025","passed","Mon Dec 15 00:02:44 UTC 2025","","test_login_with_valid_credentials","",""
"","1681","test_subscription[chromium1]","tests.footer","Mon Dec 15 00:02:37 UTC 2025","passed","Mon Dec 15 00:02:39 UTC 2025","","test_subscription","",""
"","6515","test_registration[webkit]","tests.registration","Mon Dec 15 00:02:47 UTC 2025","passed","Mon Dec 15 00:02:54 UTC 2025","","test_register_user","",""
"","1547","test_scroll_up_using_arrow_button[webkit]","tests.scroll","Mon Dec 15 00:02:56 UTC 2025","passed","Mon Dec 15 00:02:57 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","2825","test_registration[webkit]","tests.registration","Mon Dec 15 00:02:49 UTC 2025","passed","Mon Dec 15 00:02:52 UTC 2025","","test_registration_with_existing_email","",""
"","1095","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Mon Dec 15 00:02:49 UTC 2025","passed","Mon Dec 15 00:02:51 UTC 2025","","test_test_cases_page","",""
"","3086","test_subscription[webkit]","tests.footer","Mon Dec 15 00:02:37 UTC 2025","passed","Mon Dec 15 00:02:40 UTC 2025","","test_subscription","",""
"","4375","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Mon Dec 15 00:02:32 UTC 2025","passed","Mon Dec 15 00:02:36 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1964","test_registration[chromium1]","tests.registration","Mon Dec 15 00:02:43 UTC 2025","passed","Mon Dec 15 00:02:45 UTC 2025","","test_registration_with_existing_email","",""
"","4188","test_logout[chromium1]","tests.login","Mon Dec 15 00:02:41 UTC 2025","passed","Mon Dec 15 00:02:45 UTC 2025","","test_logout","",""
"","1450","test_login_with_invalid_credentials[chromium1]","tests.login","Mon Dec 15 00:02:35 UTC 2025","passed","Mon Dec 15 00:02:36 UTC 2025","","test_login_with_invalid_credentials","",""
"","1913","test_login_with_invalid_credentials[webkit]","tests.login","Mon Dec 15 00:02:55 UTC 2025","passed","Mon Dec 15 00:02:57 UTC 2025","","test_login_with_invalid_credentials","",""
"","4711","test_logout[webkit]","tests.login","Mon Dec 15 00:02:46 UTC 2025","passed","Mon Dec 15 00:02:51 UTC 2025","","test_logout","",""
"","4089","test_adding_products_in_cart[chromium1]","tests.cart","Mon Dec 15 00:02:30 UTC 2025","passed","Mon Dec 15 00:02:35 UTC 2025","","test_adding_products_in_cart","",""
"","2049","test_login_with_valid_credentials[chromium1]","tests.login","Mon Dec 15 00:02:39 UTC 2025","passed","Mon Dec 15 00:02:41 UTC 2025","","test_login_with_valid_credentials","",""
"","5528","test_registration[chromium1]","tests.registration","Mon Dec 15 00:02:41 UTC 2025","passed","Mon Dec 15 00:02:46 UTC 2025","","test_register_user","",""
"","1357","test_valid_redirect_to_test_cases_page[webkit]","tests.test_cases","Mon Dec 15 00:02:59 UTC 2025","passed","Mon Dec 15 00:03:00 UTC 2025","","test_test_cases_page","",""
