"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4880","test_login_with_valid_credentials[webkit]","tests.login","Mon Dec 15 00:58:04 UTC 2025","passed","Mon Dec 15 00:58:09 UTC 2025","","test_login_with_valid_credentials","",""
"","1260","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Mon Dec 15 00:58:13 UTC 2025","passed","Mon Dec 15 00:58:14 UTC 2025","","test_test_cases_page","",""
"","6853","test_login_with_invalid_credentials[webkit]","tests.login","Mon Dec 15 00:57:53 UTC 2025","passed","Mon Dec 15 00:58:00 UTC 2025","","test_login_with_invalid_credentials","",""
"","3286","test_valid_redirect_to_test_cases_page[webkit]","tests.test_cases","Mon Dec 15 00:58:14 UTC 2025","passed","Mon Dec 15 00:58:17 UTC 2025","","test_test_cases_page","",""
"","3532","test_registration[webkit]","tests.registration","Mon Dec 15 00:58:06 UTC 2025","passed","Mon Dec 15 00:58:09 UTC 2025","","test_registration_with_existing_email","",""
"","1214","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Mon Dec 15 00:58:13 UTC 2025","passed","Mon Dec 15 00:58:14 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","9506","test_registration[webkit]","tests.registration","Mon Dec 15 00:58:06 UTC 2025","passed","Mon Dec 15 00:58:15 UTC 2025","","test_register_user","",""
"","7994","test_adding_products_in_cart[chromium1]","tests.cart","Mon Dec 15 00:57:57 UTC 2025","passed","Mon Dec 15 00:58:05 UTC 2025","","test_adding_products_in_cart","",""
"","3968","test_subscription[webkit]","tests.footer","Mon Dec 15 00:57:50 UTC 2025","passed","Mon Dec 15 00:57:54 UTC 2025","","test_subscription","",""
"","5344","test_registration[chromium1]","tests.registration","Mon Dec 15 00:58:03 UTC 2025","passed","Mon Dec 15 00:58:09 UTC 2025","","test_register_user","",""
"","9133","test_adding_products_in_cart[webkit]","tests.cart","Mon Dec 15 00:57:50 UTC 2025","passed","Mon Dec 15 00:57:59 UTC 2025","","test_adding_products_in_cart","",""
"","4055","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Mon Dec 15 00:57:56 UTC 2025","passed","Mon Dec 15 00:58:00 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1538","test_subscription[chromium1]","tests.footer","Mon Dec 15 00:57:57 UTC 2025","passed","Mon Dec 15 00:57:58 UTC 2025","","test_subscription","",""
"","2998","test_logout[chromium1]","tests.login","Mon Dec 15 00:58:10 UTC 2025","passed","Mon Dec 15 00:58:13 UTC 2025","","test_logout","",""
"","1746","test_scroll_up_using_arrow_button[webkit]","tests.scroll","Mon Dec 15 00:58:10 UTC 2025","passed","Mon Dec 15 00:58:12 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","7942","test_valid_contact_us_form_submitting[webkit]","tests.contact_us_form","Mon Dec 15 00:57:50 UTC 2025","passed","Mon Dec 15 00:57:58 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","3694","test_login_with_valid_credentials[chromium1]","tests.login","Mon Dec 15 00:58:05 UTC 2025","passed","Mon Dec 15 00:58:08 UTC 2025","","test_login_with_valid_credentials","",""
"","2402","test_login_with_invalid_credentials[chromium1]","tests.login","Mon Dec 15 00:57:59 UTC 2025","passed","Mon Dec 15 00:58:02 UTC 2025","","test_login_with_invalid_credentials","",""
"","2259","test_registration[chromium1]","tests.registration","Mon Dec 15 00:58:06 UTC 2025","passed","Mon Dec 15 00:58:08 UTC 2025","","test_registration_with_existing_email","",""
"","5536","test_logout[webkit]","tests.login","Mon Dec 15 00:58:00 UTC 2025","passed","Mon Dec 15 00:58:05 UTC 2025","","test_logout","",""
