"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2041","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Sun Dec 14 20:38:07 UTC 2025","passed","Sun Dec 14 20:38:09 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1660","test_registration[chromium1]","tests.registration","Sun Dec 14 20:38:20 UTC 2025","passed","Sun Dec 14 20:38:22 UTC 2025","","test_registration_with_existing_email","",""
"","1582","test_subscription[chromium1]","tests.footer","Sun Dec 14 20:38:09 UTC 2025","passed","Sun Dec 14 20:38:11 UTC 2025","","test_subscription","",""
"","2287","test_login_with_valid_credentials[chromium1]","tests.login","Sun Dec 14 20:38:13 UTC 2025","passed","Sun Dec 14 20:38:15 UTC 2025","","test_login_with_valid_credentials","",""
"","2203","test_login_with_invalid_credentials[chromium1]","tests.login","Sun Dec 14 20:38:17 UTC 2025","passed","Sun Dec 14 20:38:19 UTC 2025","","test_login_with_invalid_credentials","",""
"","916","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Sun Dec 14 20:38:21 UTC 2025","passed","Sun Dec 14 20:38:22 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","3011","test_logout[chromium1]","tests.login","Sun Dec 14 20:38:14 UTC 2025","passed","Sun Dec 14 20:38:17 UTC 2025","","test_logout","",""
"","6596","test_adding_products_in_cart[chromium1]","tests.cart","Sun Dec 14 20:38:06 UTC 2025","passed","Sun Dec 14 20:38:13 UTC 2025","","test_adding_products_in_cart","",""
"","1157","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Sun Dec 14 20:38:24 UTC 2025","passed","Sun Dec 14 20:38:25 UTC 2025","","test_test_cases_page","",""
"","4240","test_registration[chromium1]","tests.registration","Sun Dec 14 20:38:15 UTC 2025","passed","Sun Dec 14 20:38:19 UTC 2025","","test_register_user","",""
