"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1838","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Sun Dec 14 22:10:39 UTC 2025","passed","Sun Dec 14 22:10:41 UTC 2025","","test_test_cases_page","",""
"","6225","test_registration[chromium1]","tests.registration","Sun Dec 14 22:10:32 UTC 2025","passed","Sun Dec 14 22:10:38 UTC 2025","","test_register_user","",""
"","1979","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Sun Dec 14 22:10:32 UTC 2025","passed","Sun Dec 14 22:10:34 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","1515","test_registration[chromium1]","tests.registration","Sun Dec 14 22:10:42 UTC 2025","passed","Sun Dec 14 22:10:44 UTC 2025","","test_registration_with_existing_email","",""
"","2226","test_login_with_invalid_credentials[chromium1]","tests.login","Sun Dec 14 22:10:32 UTC 2025","passed","Sun Dec 14 22:10:34 UTC 2025","","test_login_with_invalid_credentials","",""
"","2952","test_login_with_valid_credentials[chromium1]","tests.login","Sun Dec 14 22:10:37 UTC 2025","passed","Sun Dec 14 22:10:40 UTC 2025","","test_login_with_valid_credentials","",""
"","2290","test_subscription[chromium1]","tests.footer","Sun Dec 14 22:10:25 UTC 2025","passed","Sun Dec 14 22:10:27 UTC 2025","","test_subscription","",""
"","0","test_adding_products_in_cart[chromium1]","tests.cart","Sun Dec 14 22:10:27 UTC 2025","skipped","Sun Dec 14 22:10:27 UTC 2025","","test_adding_products_in_cart","",""
"","0","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Sun Dec 14 22:10:27 UTC 2025","skipped","Sun Dec 14 22:10:27 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","0","test_logout[chromium1]","tests.login","Sun Dec 14 22:10:27 UTC 2025","skipped","Sun Dec 14 22:10:27 UTC 2025","","test_logout","",""
