"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11083","test_registration[chromium1]","tests.registration","Mon Dec 15 14:13:49 UTC 2025","passed","Mon Dec 15 14:14:00 UTC 2025","","test_register_user","",""
"","10346","test_subscription[chromium1]","tests.footer","Mon Dec 15 14:13:34 UTC 2025","passed","Mon Dec 15 14:13:44 UTC 2025","","test_subscription","",""
"","6594","test_registration[chromium1]","tests.registration","Mon Dec 15 14:13:48 UTC 2025","passed","Mon Dec 15 14:13:55 UTC 2025","","test_registration_with_existing_email","",""
"","10068","test_logout[firefox]","tests.login","Mon Dec 15 14:13:40 UTC 2025","passed","Mon Dec 15 14:13:50 UTC 2025","","test_logout","",""
"","11540","test_login_with_valid_credentials[chromium1]","tests.login","Mon Dec 15 14:13:32 UTC 2025","passed","Mon Dec 15 14:13:44 UTC 2025","","test_login_with_valid_credentials","",""
"","10836","test_adding_products_in_cart[firefox]","tests.cart","Mon Dec 15 14:13:24 UTC 2025","passed","Mon Dec 15 14:13:35 UTC 2025","","test_adding_products_in_cart","",""
"","9319","test_valid_contact_us_form_submitting[firefox]","tests.contact_us_form","Mon Dec 15 14:13:22 UTC 2025","passed","Mon Dec 15 14:13:31 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","5947","test_registration[firefox]","tests.registration","Mon Dec 15 14:13:48 UTC 2025","passed","Mon Dec 15 14:13:54 UTC 2025","","test_registration_with_existing_email","",""
"","15286","test_registration[firefox]","tests.registration","Mon Dec 15 14:13:42 UTC 2025","passed","Mon Dec 15 14:13:57 UTC 2025","","test_register_user","",""
"","8619","test_login_with_valid_credentials[firefox]","tests.login","Mon Dec 15 14:13:36 UTC 2025","passed","Mon Dec 15 14:13:45 UTC 2025","","test_login_with_valid_credentials","",""
"","6123","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Mon Dec 15 14:13:53 UTC 2025","passed","Mon Dec 15 14:13:59 UTC 2025","","test_test_cases_page","",""
"","8739","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Mon Dec 15 14:13:23 UTC 2025","passed","Mon Dec 15 14:13:32 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","5355","test_login_with_invalid_credentials[chromium1]","tests.login","Mon Dec 15 14:13:35 UTC 2025","passed","Mon Dec 15 14:13:40 UTC 2025","","test_login_with_invalid_credentials","",""
"","9843","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Mon Dec 15 14:13:46 UTC 2025","passed","Mon Dec 15 14:13:55 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","5687","test_login_with_invalid_credentials[firefox]","tests.login","Mon Dec 15 14:13:37 UTC 2025","passed","Mon Dec 15 14:13:43 UTC 2025","","test_login_with_invalid_credentials","",""
"","11022","test_logout[chromium1]","tests.login","Mon Dec 15 14:13:36 UTC 2025","passed","Mon Dec 15 14:13:47 UTC 2025","","test_logout","",""
"","11063","test_adding_products_in_cart[chromium1]","tests.cart","Mon Dec 15 14:13:19 UTC 2025","passed","Mon Dec 15 14:13:30 UTC 2025","","test_adding_products_in_cart","",""
"","8372","test_scroll_up_using_arrow_button[firefox]","tests.scroll","Mon Dec 15 14:13:50 UTC 2025","passed","Mon Dec 15 14:13:58 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","3864","test_valid_redirect_to_test_cases_page[firefox]","tests.test_cases","Mon Dec 15 14:13:55 UTC 2025","passed","Mon Dec 15 14:13:59 UTC 2025","","test_test_cases_page","",""
"","9570","test_subscription[firefox]","tests.footer","Mon Dec 15 14:13:27 UTC 2025","passed","Mon Dec 15 14:13:37 UTC 2025","","test_subscription","",""
