"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2026","test_login_with_valid_credentials[chromium1]","tests.login","Sun Dec 14 20:31:19 UTC 2025","passed","Sun Dec 14 20:31:21 UTC 2025","","test_login_with_valid_credentials","",""
"","0","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Sun Dec 14 20:31:13 UTC 2025","skipped","Sun Dec 14 20:31:13 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1110","test_subscription[chromium1]","tests.footer","Sun Dec 14 20:31:13 UTC 2025","passed","Sun Dec 14 20:31:14 UTC 2025","","test_subscription","",""
"","4581","test_registration[chromium1]","tests.registration","Sun Dec 14 20:31:18 UTC 2025","passed","Sun Dec 14 20:31:22 UTC 2025","","test_register_user","",""
"","1345","test_registration[chromium1]","tests.registration","Sun Dec 14 20:31:27 UTC 2025","passed","Sun Dec 14 20:31:28 UTC 2025","","test_registration_with_existing_email","",""
"","0","test_logout[chromium1]","tests.login","Sun Dec 14 20:31:19 UTC 2025","skipped","Sun Dec 14 20:31:19 UTC 2025","","test_logout","",""
"","3408","test_adding_products_in_cart[chromium1]","tests.cart","Sun Dec 14 20:31:16 UTC 2025","passed","Sun Dec 14 20:31:19 UTC 2025","","test_adding_products_in_cart","",""
"","1368","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Sun Dec 14 20:31:26 UTC 2025","passed","Sun Dec 14 20:31:27 UTC 2025","","test_test_cases_page","",""
"","1287","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Sun Dec 14 20:31:26 UTC 2025","passed","Sun Dec 14 20:31:27 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","2123","test_login_with_invalid_credentials[chromium1]","tests.login","Sun Dec 14 20:31:19 UTC 2025","passed","Sun Dec 14 20:31:21 UTC 2025","","test_login_with_invalid_credentials","",""
