"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2835","test_login_with_valid_credentials[chromium1]","tests.login","Sun Dec 14 22:58:07 UTC 2025","passed","Sun Dec 14 22:58:10 UTC 2025","","test_login_with_valid_credentials","",""
"","1858","test_registration[chromium1]","tests.registration","Sun Dec 14 22:58:07 UTC 2025","passed","Sun Dec 14 22:58:09 UTC 2025","","test_registration_with_existing_email","",""
"","2139","test_valid_contact_us_form_submitting[chromium1]","tests.contact_us_form","Sun Dec 14 22:57:56 UTC 2025","passed","Sun Dec 14 22:57:59 UTC 2025","","test_valid_contact_us_form_submitting","",""
"","1002","test_scroll_up_using_arrow_button[chromium1]","tests.scroll","Sun Dec 14 22:58:10 UTC 2025","passed","Sun Dec 14 22:58:11 UTC 2025","","test_scroll_up_using_arrow_button","",""
"","1572","test_login_with_invalid_credentials[chromium1]","tests.login","Sun Dec 14 22:58:01 UTC 2025","passed","Sun Dec 14 22:58:03 UTC 2025","","test_login_with_invalid_credentials","",""
"","6989","test_adding_products_in_cart[chromium1]","tests.cart","Sun Dec 14 22:57:56 UTC 2025","passed","Sun Dec 14 22:58:03 UTC 2025","","test_adding_products_in_cart","",""
"","992","test_valid_redirect_to_test_cases_page[chromium1]","tests.test_cases","Sun Dec 14 22:58:13 UTC 2025","passed","Sun Dec 14 22:58:14 UTC 2025","","test_test_cases_page","",""
"","3010","test_logout[chromium1]","tests.login","Sun Dec 14 22:58:03 UTC 2025","passed","Sun Dec 14 22:58:06 UTC 2025","","test_logout","",""
"","4778","test_registration[chromium1]","tests.registration","Sun Dec 14 22:58:04 UTC 2025","passed","Sun Dec 14 22:58:09 UTC 2025","","test_register_user","",""
"","1260","test_subscription[chromium1]","tests.footer","Sun Dec 14 22:57:59 UTC 2025","passed","Sun Dec 14 22:58:00 UTC 2025","","test_subscription","",""
